                     Force(x),                      Force(y),                      Force(z),                    Force(Net),                   Velocity(x),                   Velocity(y),                   Velocity(z),                 Velocity(Net),                   Position(x),                   Position(y),                   Position(z),                          Time,
        2.0514158107667993e-10          1.399992071282925e-07         2.0514179566582656e-10          1.959986216277516e-14                           45.0                           45.0                            0.0                         4050.0                            0.0                            0.0                            0.0                            0.0
        1.5730477096722605e-10         2.1947660903142057e-08         1.5730493551616582e-10          4.817493087530172e-16              45.00000020534693              45.00014013934648          2.053471428086352e-07             4050.0126310420455              45.04504514782129               45.0451151848581         1.0277634775206967e-07              1.001001001001001
        1.5730489784693877e-10         2.1947523841292892e-08         1.5730506239601122e-10           4.81743292477662e-16              45.00000015746223              45.00002196963053         1.5746239791407991e-07             4050.0019914388313             45.045045123854976              45.04505604085613          7.881000896600597e-08              2.002002002002002
         9.027359573023432e-11          3.332310936715875e-08          9.027369013811029e-11         1.1104459165568403e-15              45.00000036280929              45.00016210883981          3.628096677295674e-07              4050.014622474698              90.09009047722881              90.09031150527166          3.871391157892081e-07             3.0030030030030033
         9.027373425614356e-11          3.332308345845449e-08          9.027382866416441e-11         1.1104441898903615e-15              45.00000024782619             45.000055326096366         2.4782645210638253e-07             4050.0050016560917               90.0900903717471              90.09013977245118          2.816572812485197e-07              4.004004004004004
         5.881440539600546e-11         2.4622800820612094e-08          5.881446681984869e-11          6.062892385273251e-16             45.000000453173385              45.00019546527971         4.5317386058658885e-07             4050.0176326989854             135.13513593067358              135.1355355163425          7.955392801116087e-07              5.005005005005005
         5.881449411517831e-11          2.462279293370215e-08          5.881455553911445e-11          6.062888501526339e-16              45.00000030669947             45.000079973544636         3.0669979226639123e-07             4050.0072252283653             135.13513569433252             135.13525253503428          5.591979440977559e-07             6.0060060060060065
        4.3764855166282435e-11         1.9270226234163634e-08         4.3764900679966934e-11          3.713454498449276e-16              45.00000051204675             45.000220112720086          5.120472895546714e-07             4050.0198562774663              180.1801814588118             180.18078855838442         1.2786329488509782e-06              7.007007007007008
        4.3764914918934484e-11         1.9270220154422293e-08         4.3764960432681996e-11          3.713452155394427e-16              45.00000035050813             45.000099263060385          3.505085016557475e-07               4050.00896523102              180.1801810683103             180.18038728808986          8.881310241388664e-07              8.008008008008009
        3.5290225020872044e-11         1.6017283937559873e-08         3.5290261369478384e-11         2.5655587553894304e-16              45.00000055585548              45.00023940222975          5.558560587565553e-07             4050.0215962849848             225.22522703834244             225.22606359089184         1.8131191091669077e-06               9.00900900900901
        3.5290269693572134e-11          1.601727810424472e-08         3.5290306042226624e-11          2.565556886775529e-16              45.00000038583368             45.000115296377636         3.8583408861218233e-07              4050.010411412312              225.2252264818948             225.22553972024104         1.2566708591078002e-06              10.01001001001001
         2.970105787201132e-11         1.3820039406940206e-08         2.9701087910580825e-11           1.90995253516842e-16              45.00000059118108              45.00025543554117          5.911816904304558e-07             4050.0230424702504             270.27027265747984              270.2713563024889         2.3872120767279744e-06             11.011011011011012
         2.970109491837264e-11         1.3820034096455648e-08          2.970112495698375e-11         1.9099510673905973e-16              45.00000041556447              45.00012913025092         4.1556490734149246e-07               4050.01165914006                270.27027192804               270.270707100936         1.6577714576832131e-06             12.012012012012013
